shape	runs	quad_row_ms_median	half_meta_quad_row_ms_median	paired_time_ratio_median	max_abs_max
gate_up_set	5	4.5224	4.5536	1.0080	0.00000000e+00
down_residual_add	5	4.6103	4.6082	0.9998	0.00000000e+00
