4	cand	seqlen_q=2048,seqlen_k=8192,packed_ck_ms=20.6607475,staged_ck_ms=7.5345192,staged_speedup=2.74214554,max_abs=0,mean_abs=0,staged_scratch_bytes=83886080
4	base	seqlen_q=2048,seqlen_k=2048,packed_ck_ms=3.42200899,staged_ck_ms=1.41288197,staged_speedup=2.42200637,max_abs=6.10351562e-05,mean_abs=5.01400014e-07,staged_scratch_bytes=58720256
4	base	seqlen_q=2048,seqlen_k=4096,packed_ck_ms=9.39061069,staged_ck_ms=3.41049194,staged_speedup=2.75344753,max_abs=1.90734863e-06,mean_abs=9.28949362e-08,staged_scratch_bytes=67108864
4	base	seqlen_q=2048,seqlen_k=6144,packed_ck_ms=14.7489519,staged_ck_ms=5.4543848,staged_speedup=2.70405412,max_abs=9.53674316e-07,mean_abs=5.43407547e-08,staged_scratch_bytes=75497472
4	base	seqlen_q=2048,seqlen_k=8192,packed_ck_ms=20.6152687,staged_ck_ms=7.83472776,staged_speedup=2.63126802,max_abs=4.76837158e-07,mean_abs=3.8546015e-08,staged_scratch_bytes=83886080
5	base	seqlen_q=2048,seqlen_k=2048,packed_ck_ms=3.43306494,staged_ck_ms=1.40352297,staged_speedup=2.44603395,max_abs=6.10351562e-05,mean_abs=5.01400014e-07,staged_scratch_bytes=58720256
5	base	seqlen_q=2048,seqlen_k=4096,packed_ck_ms=9.5158968,staged_ck_ms=3.38253188,staged_speedup=2.81324673,max_abs=1.90734863e-06,mean_abs=9.28949362e-08,staged_scratch_bytes=67108864
5	base	seqlen_q=2048,seqlen_k=6144,packed_ck_ms=14.7559538,staged_ck_ms=5.48302698,staged_speedup=2.69120574,max_abs=9.53674316e-07,mean_abs=5.43407547e-08,staged_scratch_bytes=75497472
5	base	seqlen_q=2048,seqlen_k=8192,packed_ck_ms=20.652071,staged_ck_ms=7.84872913,staged_speedup=2.63126302,max_abs=4.76837158e-07,mean_abs=3.8546015e-08,staged_scratch_bytes=83886080
5	cand	seqlen_q=2048,seqlen_k=2048,packed_ck_ms=3.44873691,staged_ck_ms=1.33647799,staged_speedup=2.58046675,max_abs=0,mean_abs=0,staged_scratch_bytes=58720256
5	cand	seqlen_q=2048,seqlen_k=4096,packed_ck_ms=9.60965538,staged_ck_ms=3.167804,staged_speedup=3.03353858,max_abs=0,mean_abs=0,staged_scratch_bytes=67108864
5	cand	seqlen_q=2048,seqlen_k=6144,packed_ck_ms=15.0757217,staged_ck_ms=5.16897821,staged_speedup=2.91657686,max_abs=0,mean_abs=0,staged_scratch_bytes=75497472
