variant	reference_ms	candidate_ms	reference_speedup	max_abs	mean_abs
interleaved_quad_row	4.6858	4.4258	1.0587x	0.00000000e0	0.00000000e0
planar_quad_row	4.7419	4.4434	1.0672x	0.00000000e0	0.00000000e0
