variant	reference_ms	candidate_ms	reference_speedup	max_abs	mean_abs
min_blocks_2	4.6413	4.4104	1.0524x	0.00000000e0	0.00000000e0
min_blocks_1	4.7278	4.4298	1.0673x	0.00000000e0	0.00000000e0
