variant	reference_ms	candidate_ms	reference_speedup	max_abs	mean_abs
scalar_quad_row	4.7357	4.4088	1.0742x	0.00000000e0	0.00000000e0
prefetch_next	4.6836	4.3867	1.0677x	0.00000000e0	0.00000000e0
