shape	runs	quad_row_ms_median	j0_nounroll_ms_median	paired_time_ratio_median	max_abs_max
gate_up_set	5	5.9309	7.9982	1.3511	0.00000000e+00
down_residual_add	5	5.8358	7.8556	1.3508	0.00000000e+00
