variant	reference_ms	candidate_ms	reference_speedup	max_abs	mean_abs
interleaved_quad_row	4.6551	4.4185	1.0536x	0.00000000e0	0.00000000e0
tile64_planar_quad	4.6993	4.4205	1.0631x	0.00000000e0	0.00000000e0
