seqlen_q,seqlen_k,nhead_q,nhead_k,head_dim,causal,native_f32_ms,ck_f16_ms,ck_qo_bridge_ms,ck_full_f32_bridge_ms,native_f32_wall_ms,ck_f16_wall_ms,ck_qo_bridge_wall_ms,ck_full_f32_bridge_wall_ms,ck_f16_gpu_speedup_vs_native_f32,ck_qo_bridge_gpu_speedup,ck_full_f32_bridge_gpu_speedup,ck_f16_wall_speedup_vs_native_f32,ck_qo_bridge_wall_speedup,ck_full_f32_bridge_wall_speedup,max_abs,mean_abs
64,64,8,8,256,1,0.022584,0.020778,0.035434,0.049445,0.023589,0.022001,0.036362,0.050425,1.087,0.637,0.457,1.072,0.649,0.468,4.439056e-05,2.881766e-06
128,128,8,8,256,1,0.185976,0.026336,0.037618,0.049081,0.190036,0.028295,0.038481,0.050611,7.062,4.944,3.789,6.716,4.938,3.755,4.439056e-05,2.088007e-06
256,256,8,8,256,1,1.436074,0.041851,0.053873,0.066301,1.449552,0.043769,0.055183,0.067600,34.314,26.657,21.660,33.118,26.268,21.443,4.439056e-05,1.628055e-06
512,512,8,8,256,1,5.222050,0.082539,0.099345,0.115689,5.263770,0.083832,0.099254,0.115275,63.268,52.565,45.139,62.790,53.034,45.663,4.439056e-05,1.384807e-06
1024,1024,8,8,256,1,20.015026,0.175824,0.199246,0.223095,20.011681,0.178680,0.199055,0.225798,113.835,100.454,89.715,111.997,100.534,88.627,4.439056e-05,1.26173e-06
2048,2048,8,8,256,1,78.455444,0.458876,0.519885,0.600174,78.298538,0.456755,0.520421,0.606598,170.973,150.909,130.721,171.423,150.452,129.078,4.439056e-05,1.200041e-06
4096,4096,8,8,256,1,223.835648,1.757954,1.820652,2.046680,216.924835,1.660093,1.845013,2.203611,127.327,122.943,109.365,130.670,117.574,98.441,4.439056e-05,1.169161e-06
2048,2048,8,2,256,1,53.989574,0.467475,0.510876,0.533426,54.068169,0.451894,0.515589,0.540465,115.492,105.680,101.213,119.648,104.867,100.040,5.603582e-05,3.651649e-07
