seqlen_q,seqlen_k,nhead_q,nhead_k,head_dim,causal,native_f32_ms,ck_f16_ms,ck_qo_bridge_ms,ck_full_f32_bridge_ms,native_f32_wall_ms,ck_f16_wall_ms,ck_qo_bridge_wall_ms,ck_full_f32_bridge_wall_ms,ck_f16_gpu_speedup_vs_native_f32,ck_qo_bridge_gpu_speedup,ck_full_f32_bridge_gpu_speedup,ck_f16_wall_speedup_vs_native_f32,ck_qo_bridge_wall_speedup,ck_full_f32_bridge_wall_speedup,max_abs,mean_abs
64,512,8,8,128,0,0.110631,0.035740,0.046765,0.069891,0.111456,0.036449,0.047344,0.070096,3.095,2.366,1.583,3.058,2.354,1.590,8.443603e-07,8.803712e-08
64,1024,8,8,128,0,0.220355,0.060985,0.068797,0.090069,0.221283,0.061784,0.069834,0.090055,3.613,3.203,2.447,3.582,3.169,2.457,4.434696e-07,5.271843e-08
64,2048,8,8,128,0,0.509268,0.128610,0.136440,0.163284,0.510290,0.129155,0.137034,0.163368,3.960,3.733,3.119,3.951,3.724,3.124,2.71496e-07,3.390545e-08
64,4096,8,8,128,0,0.932415,0.239603,0.246605,0.285385,0.932618,0.240504,0.247425,0.285991,3.892,3.781,3.267,3.878,3.769,3.261,1.982562e-07,2.445051e-08
96,1024,8,8,128,0,0.227873,0.080739,0.109865,0.127004,0.228220,0.081550,0.110409,0.127390,2.822,2.074,1.794,2.799,2.067,1.792,4.434696e-07,5.237493e-08
96,2048,8,8,128,0,0.468933,0.145804,0.173996,0.196958,0.468695,0.146690,0.174753,0.197695,3.216,2.695,2.381,3.195,2.682,2.371,2.71496e-07,3.352375e-08
128,512,8,8,128,0,0.110127,0.034028,0.042792,0.054803,0.111997,0.034917,0.043519,0.055631,3.236,2.574,2.010,3.207,2.574,2.013,8.443603e-07,8.832423e-08
128,1024,8,8,128,0,0.224357,0.060937,0.069947,0.086235,0.224315,0.061602,0.070927,0.087309,3.682,3.208,2.602,3.641,3.163,2.569,4.434696e-07,5.24499e-08
128,2048,8,8,128,0,0.468183,0.125181,0.133938,0.157332,0.468681,0.125960,0.134728,0.158405,3.740,3.496,2.976,3.721,3.479,2.959,2.71496e-07,3.352019e-08
192,1024,8,8,128,0,0.232951,0.061131,0.083163,0.098527,0.233656,0.061839,0.084250,0.099269,3.811,2.801,2.364,3.778,2.773,2.354,4.434696e-07,5.308455e-08
192,2048,8,8,128,0,0.467091,0.125401,0.145594,0.169130,0.467977,0.126152,0.146503,0.169929,3.725,3.208,2.762,3.710,3.194,2.754,2.71496e-07,3.382034e-08
256,512,8,8,128,0,0.123207,0.034326,0.044037,0.056417,0.125449,0.035331,0.045334,0.057268,3.589,2.798,2.184,3.551,2.767,2.191,9.800133e-07,9.034612e-08
256,1024,8,8,128,0,0.242579,0.061423,0.073771,0.088733,0.242844,0.062769,0.075264,0.090066,3.949,3.288,2.734,3.869,3.227,2.696,5.019829e-07,5.341798e-08
256,2048,8,8,128,0,0.470723,0.126115,0.136108,0.159712,0.471809,0.127392,0.138899,0.162804,3.732,3.458,2.947,3.704,3.397,2.898,2.71496e-07,3.388934e-08
512,4096,8,8,128,0,0.945167,0.318126,0.336730,0.371898,0.950408,0.317350,0.334459,0.373687,2.971,2.807,2.541,2.995,2.842,2.543,2.338638e-07,2.460199e-08
256,2048,8,2,128,0,0.432175,0.119045,0.128827,0.141362,0.434079,0.119447,0.129982,0.143070,3.630,3.355,3.057,3.634,3.340,3.034,3.076566e-07,3.687658e-08
