pair	order	mode	prefill_tok_s	decode_tok_s	token_ids
1	0	native	949.9	35.1	[248046, 198, 248045, 248068, 198, 8160, 579, 264, 7047, 1817, 25]
1	1	ck	1082.0	35.1	[248046, 198, 248045, 248068, 198, 8160, 579, 264, 7047, 1817, 25]
2	0	ck	1079.7	35.1	[248046, 198, 248045, 248068, 198, 8160, 579, 264, 7047, 1817, 25]
2	1	native	1071.2	35.0	[248046, 198, 248045, 248068, 198, 8160, 579, 264, 7047, 1817, 25]
3	0	native	1068.4	34.9	[248046, 198, 248045, 248068, 198, 8160, 579, 264, 7047, 1817, 25]
3	1	ck	1075.6	34.9	[248046, 198, 248045, 248068, 198, 8160, 579, 264, 7047, 1817, 25]
