seqlen_q,seqlen_k,packed_ck_ms,staged_ck_ms,staged_speedup,max_abs,mean_abs,staged_scratch_bytes
2048,2048,3.44702196,1.41692805,2.43274307,6.10351562e-05,5.01400014e-07,58720256
2048,4096,9.47429943,3.32374001,2.85049343,1.90734863e-06,9.28949362e-08,67108864
2048,6144,14.6979237,5.48891211,2.67774796,9.53674316e-07,5.43407547e-08,75497472
2048,8192,20.7251587,7.86704588,2.63442707,4.76837158e-07,3.8546015e-08,83886080
