pair	order	mode	prefill_tok_s	gen_tok_s
1	0	base	920.6	33.3
1	1	group128	1064.0	33.3
2	0	group128	1050.7	33.1
2	1	base	887.4	33.0
3	0	base	885.1	33.0
3	1	group128	1041.2	33.0
4	0	group128	1039.2	33.0
4	1	base	880.5	33.0
5	0	base	880.7	33.0
5	1	group128	1030.9	32.9
