variant	reference_ms	candidate_ms	reference_speedup	max_abs	mean_abs
scalar_quad_row	4.6692	4.3930	1.0629x	0.00000000e0	0.00000000e0
prefetch_next	4.7147	4.4340	1.0633x	0.00000000e0	0.00000000e0
