trial	order	mode	prefill_ms	prefill_tok_s	gen_tok_s	ck_active
1	1	baseline	9405.50	871.0	33.1	1
1	2	candidate	9466.51	865.4	32.8	1
2	1	candidate	9498.79	862.4	32.8	1
2	2	baseline	9627.04	850.9	33.0	1
3	1	baseline	9643.16	849.5	32.9	1
3	2	candidate	9412.18	870.4	32.8	1
