variant	reference_ms	candidate_ms	reference_speedup	max_abs	mean_abs
scalar_quad_row	4.7012	4.3953	1.0696x	0.00000000e0	0.00000000e0
warp_specialized	4.5971	5.1877	0.8862x	0.00000000e0	0.00000000e0
