shape	runs	quad_row_ms_median	j0_nounroll_ms_median	j0_nounroll_vs_quad_time	max_abs_max
gate_up_set	5	4.4985	7.9681	1.7713	0.00000000e+00
down_residual_add	5	4.6058	7.9005	1.7153	0.00000000e+00
