pair	order	mode	prefill_tok_s	gen_tok_s	token_ids
1	0	k32	1061.3	33.0	[248046, 198, 248045, 74455, 198, 248068, 198, 8160, 579, 264, 7047, 1817, 25, 271, 16, 13, 220, 2972, 2014, 53983, 2570, 5396, 64700, 198, 256, 471, 561, 1879, 369, 264, 10632, 2424, 314, 1414, 421]
1	1	k128	1037.9	33.1	[248046, 198, 248045, 74455, 198, 248068, 198, 8160, 579, 264, 7047, 1817, 25, 271, 16, 13, 220, 2972, 2014, 53983, 2570, 5396, 64700, 198, 256, 471, 561, 1879, 369, 264, 10632, 2424, 314, 1414, 421]
2	0	k128	1032.8	32.9	[248046, 198, 248045, 74455, 198, 248068, 198, 8160, 579, 264, 7047, 1817, 25, 271, 16, 13, 220, 2972, 2014, 53983, 2570, 5396, 64700, 198, 256, 471, 561, 1879, 369, 264, 10632, 2424, 314, 1414, 421]
2	1	k32	1055.4	33.0	[248046, 198, 248045, 74455, 198, 248068, 198, 8160, 579, 264, 7047, 1817, 25, 271, 16, 13, 220, 2972, 2014, 53983, 2570, 5396, 64700, 198, 256, 471, 561, 1879, 369, 264, 10632, 2424, 314, 1414, 421]
3	0	k32	1056.1	33.1	[248046, 198, 248045, 74455, 198, 248068, 198, 8160, 579, 264, 7047, 1817, 25, 271, 16, 13, 220, 2972, 2014, 53983, 2570, 5396, 64700, 198, 256, 471, 561, 1879, 369, 264, 10632, 2424, 314, 1414, 421]
3	1	k128	1034.0	33.0	[248046, 198, 248045, 74455, 198, 248068, 198, 8160, 579, 264, 7047, 1817, 25, 271, 16, 13, 220, 2972, 2014, 53983, 2570, 5396, 64700, 198, 256, 471, 561, 1879, 369, 264, 10632, 2424, 314, 1414, 421]
4	0	k128	1032.0	33.0	[248046, 198, 248045, 74455, 198, 248068, 198, 8160, 579, 264, 7047, 1817, 25, 271, 16, 13, 220, 2972, 2014, 53983, 2570, 5396, 64700, 198, 256, 471, 561, 1879, 369, 264, 10632, 2424, 314, 1414, 421]
4	1	k32	1051.4	33.0	[248046, 198, 248045, 74455, 198, 248068, 198, 8160, 579, 264, 7047, 1817, 25, 271, 16, 13, 220, 2972, 2014, 53983, 2570, 5396, 64700, 198, 256, 471, 561, 1879, 369, 264, 10632, 2424, 314, 1414, 421]
5	0	k32	1055.4	33.0	[248046, 198, 248045, 74455, 198, 248068, 198, 8160, 579, 264, 7047, 1817, 25, 271, 16, 13, 220, 2972, 2014, 53983, 2570, 5396, 64700, 198, 256, 471, 561, 1879, 369, 264, 10632, 2424, 314, 1414, 421]
5	1	k128	1035.2	32.9	[248046, 198, 248045, 74455, 198, 248068, 198, 8160, 579, 264, 7047, 1817, 25, 271, 16, 13, 220, 2972, 2014, 53983, 2570, 5396, 64700, 198, 256, 471, 561, 1879, 369, 264, 10632, 2424, 314, 1414, 421]
