pair	order	mode	prefill_tok_s	gen_tok_s
1	0	base	853.3	32.8
1	1	x256y64	855.9	32.8
2	0	x256y64	856.8	32.8
2	1	base	849.6	32.9
3	0	base	850.1	32.8
3	1	x256y64	860.5	32.9
4	0	x256y64	861.0	32.9
4	1	base	850.9	32.8
5	0	base	849.9	32.9
5	1	x256y64	861.6	32.7
