pair	order	mode	process_median_prefill_tok_s	summary_last_prefill_tok_s	decode_tok_s	token_ids
1	0	bn32	1148.9	1134.5	31.8	[82, 248046, 198, 248045, 846, 198, 248046, 198, 248045, 74455, 198]
1	1	bn128	1123.3	1118.7	31.7	[82, 248046, 198, 248045, 846, 198, 248046, 198, 248045, 74455, 198]
2	0	bn128	1129.8	1119.2	31.7	[82, 248046, 198, 248045, 846, 198, 248046, 198, 248045, 74455, 198]
2	1	bn32	1124.9	1114.3	31.8	[82, 248046, 198, 248045, 846, 198, 248046, 198, 248045, 74455, 198]
3	0	bn32	1122.4	1114.9	31.9	[82, 248046, 198, 248045, 846, 198, 248046, 198, 248045, 74455, 198]
3	1	bn128	1124.8	1114.7	31.6	[82, 248046, 198, 248045, 846, 198, 248046, 198, 248045, 74455, 198]
