trial	order	mode	prefill_ms	prefill_tok_s	gen_tok_s	ck_active
1	1	baseline	9475.08	864.6	33.0	1
1	2	candidate	9519.86	860.5	32.7	1
2	1	candidate	9538.96	858.8	33.0	1
2	2	baseline	9632.99	850.4	33.0	1
3	1	baseline	9629.37	850.7	33.0	1
3	2	candidate	9454.11	866.5	33.0	1
