pair	order	mode	prefill_tok_s	gen_tok_s	token_ids
1	0	baseline	1114.7	31.9	[82, 248046, 198, 248045, 846, 198, 248046, 198, 248045, 74455, 198, 248068, 271, 248069, 271, 760, 1414, 488, 3766, 7701, 310, 381, 264, 328, 1119, 31393, 1, 466, 264, 4129, 314, 24086, 22687, 314, 4055]
1	1	fused	1122.6	31.8	[82, 248046, 198, 248045, 846, 198, 248046, 198, 248045, 74455, 198, 248068, 271, 248069, 271, 760, 1414, 488, 3766, 7701, 310, 381, 264, 328, 1119, 31393, 1, 466, 264, 4129, 314, 24086, 22687, 314, 4055]
2	0	fused	1121.0	31.9	[82, 248046, 198, 248045, 846, 198, 248046, 198, 248045, 74455, 198, 248068, 271, 248069, 271, 760, 1414, 488, 3766, 7701, 310, 381, 264, 328, 1119, 31393, 1, 466, 264, 4129, 314, 24086, 22687, 314, 4055]
2	1	baseline	1115.0	31.8	[82, 248046, 198, 248045, 846, 198, 248046, 198, 248045, 74455, 198, 248068, 271, 248069, 271, 760, 1414, 488, 3766, 7701, 310, 381, 264, 328, 1119, 31393, 1, 466, 264, 4129, 314, 24086, 22687, 314, 4055]
3	0	baseline	1115.9	31.9	[82, 248046, 198, 248045, 846, 198, 248046, 198, 248045, 74455, 198, 248068, 271, 248069, 271, 760, 1414, 488, 3766, 7701, 310, 381, 264, 328, 1119, 31393, 1, 466, 264, 4129, 314, 24086, 22687, 314, 4055]
3	1	fused	1119.2	31.8	[82, 248046, 198, 248045, 846, 198, 248046, 198, 248045, 74455, 198, 248068, 271, 248069, 271, 760, 1414, 488, 3766, 7701, 310, 381, 264, 328, 1119, 31393, 1, 466, 264, 4129, 314, 24086, 22687, 314, 4055]
