trial	order	mode	prefill_ms	prefill_tok_s	gen_tok_s	ck_active
1	1	baseline	9351.69	876.0	33.2	1
1	2	candidate	9480.23	864.1	32.9	1
2	1	candidate	9531.64	859.5	32.9	1
2	2	baseline	9617.23	851.8	33.0	1
3	1	baseline	9606.12	852.8	33.0	1
3	2	candidate	9489.25	863.3	33.0	1
4	1	candidate	9509.47	861.5	33.0	1
4	2	baseline	9653.15	848.6	33.0	1
5	1	baseline	9608.82	852.5	33.0	1
5	2	candidate	9495.42	862.7	32.9	1
