variant	reference_ms	candidate_ms	reference_speedup	max_abs	mean_abs
scalar_activation_stage	4.6959	4.4147	1.0637x	0.00000000e0	0.00000000e0
vector_activation_stage	4.6952	4.5058	1.0420x	0.00000000e0	0.00000000e0
