shape	mode	baseline_ms	candidate_ms	speedup	max_abs	mean_abs
gate_up	set	4.9415	4.6532	1.0620x	0.00000000e0	0.00000000e0
qkvza	set	2.9001	2.7530	1.0534x	0.00000000e0	0.00000000e0
gdn_out	set	1.8037	1.7033	1.0589x	0.00000000e0	0.00000000e0
attn_qkv	set	3.5317	3.3202	1.0637x	0.00000000e0	0.00000000e0
ffn_down	add	5.0477	4.7798	1.0560x	0.00000000e0	0.00000000e0
aux_down	add	1.8214	1.7352	1.0497x	0.00000000e0	0.00000000e0
