pair	order	mode	prefill_tok_s	gen_tok_s
1	0	base	885.8	33.1
1	1	x256y64	882.1	33.0
2	0	x256y64	867.0	32.8
2	1	base	849.8	32.8
3	0	base	850.0	32.8
3	1	x256y64	860.6	32.8
