variant	reference_ms	candidate_ms	reference_speedup	max_abs	mean_abs
scalar_quad_row	5.2134	4.8966	1.0647x	0.00000000e0	0.00000000e0
x192y96	5.0762	6.6948	0.7582x	0.00000000e0	0.00000000e0
