pair,label,seqlen_q,seqlen_k,packed_ck_ms,staged_ck_ms,staged_speedup,max_abs,mean_abs,staged_scratch_bytes
7,baseline,2048,4096,9.30416107,3.42538309,2.71623945,1.90734863e-06,9.28949362e-08,67108864
7,baseline,2048,6144,14.9010468,5.46024179,2.72900867,9.53674316e-07,5.43407547e-08,75497472
7,baseline,2048,8192,20.6734924,7.943717,2.60249615,4.76837158e-07,3.8546015e-08,83886080
8,baseline,2048,2048,3.44862103,1.38727999,2.48588681,6.10351562e-05,5.01400014e-07,58720256
8,baseline,2048,4096,9.52064228,3.36118007,2.83252978,1.90734863e-06,9.28949362e-08,67108864
8,baseline,2048,6144,15.0008469,5.46484184,2.74497366,9.53674316e-07,5.43407547e-08,75497472
8,baseline,2048,8192,20.7540131,7.89947414,2.62726521,4.76837158e-07,3.8546015e-08,83886080
8,candidate,2048,2048,3.48150492,1.28311896,2.71331429,0,0,58720256
8,candidate,2048,4096,9.62188435,2.93740702,3.27563882,0,0,67108864
8,candidate,2048,6144,15.0266447,4.75142002,3.16255879,0,0,75497472
8,candidate,2048,8192,20.8519745,7.31993675,2.84865499,0,0,83886080
9,candidate,2048,2048,3.46774602,1.27923894,2.71078825,0,0,58720256
9,candidate,2048,4096,9.70956898,2.93656707,3.30643535,0,0,67108864
9,candidate,2048,6144,15.0239677,4.73309994,3.17423415,0,0,75497472
9,candidate,2048,8192,20.8286915,7.02252722,2.9659822,0,0,83886080
9,baseline,2048,2048,3.46206689,1.40920401,2.45675349,6.10351562e-05,5.01400014e-07,58720256
9,baseline,2048,4096,9.48916245,3.37542009,2.81125379,1.90734863e-06,9.28949362e-08,67108864
9,baseline,2048,6144,14.8804789,5.41747999,2.74675298,9.53674316e-07,5.43407547e-08,75497472
9,baseline,2048,8192,20.8222923,7.93623304,2.62369967,4.76837158e-07,3.8546015e-08,83886080
