keep_groups	retained_pct	mean_nll	ppl	ppl_ratio	delta_nll_nats	ci95_low	ci95_high	top1_agreement_pct	top8_overlap
68	100.00	2.554232	12.8614	1.00000	0.000000	0.000000	0.000000	100.00	8.00
60	88.24	2.621113	13.7510	1.06917	0.066881	-0.004843	0.138606	89.26	6.89
41	60.29	2.978131	19.6511	1.52791	0.423900	0.268044	0.579755	71.48	5.64
