pair	order	mode	prefill_tok_s	decode_tok_s	token_ids
1	0	native	756.1	35.2	[248046, 198, 248045, 74455, 198, 248068, 198, 8160, 579, 264, 7047]
1	1	ck	1225.8	35.0	[248046, 198, 248045, 74455, 198, 248068, 198, 8160, 579, 264, 7047]
2	0	ck	1213.8	35.0	[248046, 198, 248045, 74455, 198, 248068, 198, 8160, 579, 264, 7047]
2	1	native	731.4	35.0	[248046, 198, 248045, 74455, 198, 248068, 198, 8160, 579, 264, 7047]
3	0	native	748.4	35.1	[248046, 198, 248045, 74455, 198, 248068, 198, 8160, 579, 264, 7047]
3	1	ck	1221.5	35.1	[248046, 198, 248045, 74455, 198, 248068, 198, 8160, 579, 264, 7047]
