pair	order	mode	prefill_tok_s	decode_tok_s	token_ids
1	0	native	632.9	33.4	[248046, 198, 248045, 74455, 198, 248068, 198, 8160, 579, 264, 7047]
1	1	ck	1243.1	33.5	[248046, 198, 248045, 74455, 198, 248068, 198, 8160, 579, 264, 7047]
2	0	ck	1240.1	33.4	[248046, 198, 248045, 74455, 198, 248068, 198, 8160, 579, 264, 7047]
2	1	native	629.7	33.3	[248046, 198, 248045, 74455, 198, 248068, 198, 8160, 579, 264, 7047]
3	0	native	629.6	33.3	[248046, 198, 248045, 74455, 198, 248068, 198, 8160, 579, 264, 7047]
3	1	ck	1237.2	33.3	[248046, 198, 248045, 74455, 198, 248068, 198, 8160, 579, 264, 7047]
