variant	reference_ms	candidate_ms	reference_speedup	max_abs	mean_abs
scalar_quad_row	4.6791	4.3987	1.0638x	0.00000000e0	0.00000000e0
vector_activation_batch3	4.6700	4.5990	1.0154x	0.00000000e0	0.00000000e0
