variant	reference_ms	candidate_ms	reference_speedup	max_abs	mean_abs
scalar_quad_row	4.6434	4.4088	1.0532x	0.00000000e0	0.00000000e0
prefetch_next	4.7387	4.4770	1.0585x	1.30173032e8	NaN
