"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"HIP_API",54935,18003548852,327724.562701,51.66,60,1934847445,15310305.409107
"KERNEL_DISPATCH",29131,16210964280,556484.991246,46.52,2040,22225904,1148774.137398
"MEMORY_COPY",1296,534019347,412051.965278,1.53,4840,1694315,475784.404228
"MEMORY_ALLOCATION",1617,98913158,61170.784168,0.2838,371,6050366,194945.053026
"SCRATCH_MEMORY",3,287172,95724.000000,8.241e-04,190,192350,96084.654071
